                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.027633,                0.01863,               0.035392,                      0,                0.99168,                0.98123,                0.99444,                0.87072,                  0.991,                 0.9786,                0.99226,                0.76464,               0.014461,              0.0097448,               0.017209,                      0,              0.0069143,              0.0069143,              0.0069143
                     26,               0.028218,               0.019266,                0.03876,                      0,                  0.996,                0.98683,                0.99384,                 0.8727,                0.99461,                0.98436,                0.99349,                0.77501,               0.013788,              0.0093851,               0.017136,                      0,              0.0067857,              0.0067857,              0.0067857
                     27,               0.027146,               0.018202,               0.034183,                      0,                0.99503,                0.98829,                0.99401,                0.83963,                0.99171,                 0.9851,                0.99339,                0.75934,               0.015906,              0.0097466,               0.017765,                      0,              0.0066571,              0.0066571,              0.0066571
                     28,               0.027822,               0.018807,                0.03623,                      0,                0.99503,                0.98889,                0.99333,                 0.8596,                 0.9921,                0.98272,                0.99097,                0.78168,               0.014171,              0.0096949,               0.016687,                      0,              0.0065286,              0.0065286,              0.0065286
                     29,               0.027829,               0.018587,               0.036717,                      0,                0.99585,                0.98635,                0.99384,                0.87572,                0.99501,                0.98511,                0.99322,                 0.7667,               0.013677,                0.00989,               0.016532,                      0,                 0.0064,                 0.0064,                 0.0064
                     30,               0.026884,               0.018785,               0.036342,                      0,                0.99668,                0.98741,                0.99447,                 0.8634,                 0.9901,                0.98738,                0.99232,                0.78552,               0.014626,              0.0095778,               0.017043,                      0,              0.0062714,              0.0062714,              0.0062714
                     31,               0.026529,               0.018041,               0.034045,                      0,                0.99235,                 0.9893,                0.99425,                0.87097,                0.99004,                0.98192,                0.99288,                0.76844,               0.014169,               0.009446,               0.016767,                      0,              0.0061429,              0.0061429,              0.0061429
                     32,               0.025966,               0.018169,               0.034806,                      0,                0.98769,                 0.9905,                0.99405,                0.85093,                0.98976,                0.98107,                0.99305,                0.78933,               0.015011,              0.0092405,               0.017473,                      0,              0.0060143,              0.0060143,              0.0060143
                     33,               0.026315,               0.018194,                 0.0358,                      0,                0.99574,                0.98765,                 0.9942,                0.87398,                0.99005,                0.98277,                0.99289,                0.77356,               0.013838,              0.0090616,               0.016533,                      0,              0.0058857,              0.0058857,              0.0058857
                     34,               0.025716,               0.018149,               0.035613,                      0,                0.99611,                0.98765,                0.99364,                0.85438,                0.99585,                0.98752,                0.99363,                0.79026,               0.014667,              0.0093431,               0.016739,                      0,              0.0057571,              0.0057571,              0.0057571
                     35,               0.025391,               0.018416,               0.035444,                      0,                0.99504,                0.99039,                0.99386,                0.87763,                0.99173,                 0.9871,                0.99343,                0.78455,               0.013225,              0.0091515,               0.016401,                      0,              0.0056286,              0.0056286,              0.0056286
                     36,               0.024705,               0.018261,               0.035136,                      0,                0.99585,                0.98747,                0.99371,                0.89282,                0.99584,                0.98545,                0.99366,                0.79535,                0.01226,              0.0091137,               0.015685,                      0,                 0.0055,                 0.0055,                 0.0055
                     37,               0.025559,               0.018292,               0.035067,                      0,                0.99502,                0.98727,                0.99375,                   0.89,                 0.9917,                0.98397,                0.99062,                0.79364,               0.012148,              0.0088419,               0.015479,                      0,              0.0053714,              0.0053714,              0.0053714
                     38,               0.025098,               0.017405,               0.034039,                      0,                0.99259,                0.99244,                 0.9935,                0.87974,                0.99305,                0.98519,                0.99343,                0.79699,               0.013618,               0.009085,               0.016325,                      0,              0.0052429,              0.0052429,              0.0052429
                     39,               0.024335,               0.017366,               0.034588,                      0,                0.99503,                0.98899,                0.99325,                0.88075,                0.99643,                0.98519,                0.99308,                0.78397,               0.012369,               0.009192,               0.015634,                      0,              0.0051143,              0.0051143,              0.0051143
                     40,                0.02353,               0.017204,                0.03353,                      0,                0.99503,                0.98868,                0.99399,                0.88834,                0.99443,                0.98354,                0.99379,                0.80478,               0.012555,              0.0088512,               0.015878,                      0,              0.0049857,              0.0049857,              0.0049857
                     41,               0.023336,               0.017166,               0.033063,                      0,                0.99586,                0.99088,                0.99441,                0.89784,                0.99421,                0.98924,                0.99444,                0.79913,               0.012984,               0.008623,                0.01559,                      0,              0.0048571,              0.0048571,              0.0048571
                     42,               0.022817,               0.017034,               0.034199,                      0,                0.99014,                0.99217,                0.99409,                0.89212,                0.98768,                 0.9897,                0.99423,                0.80703,               0.012112,              0.0088834,               0.015632,                      0,              0.0047286,              0.0047286,              0.0047286
                     43,               0.023645,               0.017845,               0.034759,                      0,                0.99339,                0.98961,                0.99415,                0.89381,                0.99174,                0.98796,                0.99399,                0.80377,               0.012405,               0.008827,               0.015429,                      0,                 0.0046,                 0.0046,                 0.0046
                     44,               0.023289,                0.01685,               0.032126,                      0,                0.99585,                0.98718,                0.99436,                0.90726,                0.99502,                0.98636,                0.99443,                0.80369,               0.011379,              0.0088812,               0.015368,                      0,              0.0044714,              0.0044714,              0.0044714
                     45,               0.022591,               0.016754,               0.032645,                      0,                0.99585,                0.98786,                0.99364,                0.90486,                0.99585,                0.98786,                0.99381,                 0.8036,                0.01144,              0.0084855,               0.015063,                      0,              0.0043429,              0.0043429,              0.0043429
                     46,               0.022652,               0.016973,               0.034553,                      0,                0.99426,                0.98765,                0.99429,                0.90722,                0.99501,                0.98479,                0.99431,                0.80839,               0.011342,              0.0083683,               0.015219,                      0,              0.0042143,              0.0042143,              0.0042143
                     47,               0.021789,               0.016468,               0.031659,                      0,                0.99258,                0.99069,                0.99445,                0.91003,                 0.9901,                0.98806,                0.99434,                0.80507,               0.011345,              0.0086601,               0.014981,                      0,              0.0040857,              0.0040857,              0.0040857
                     48,               0.021618,               0.016698,               0.031571,                      0,                0.99361,                0.99095,                 0.9945,                0.91294,                 0.9929,                0.99012,                0.99451,                0.81009,               0.011105,              0.0086182,               0.014706,                      0,              0.0039571,              0.0039571,              0.0039571
                     49,               0.022016,               0.017411,               0.032273,                      0,                0.99584,                0.98765,                0.99393,                0.91112,                0.99419,                0.98555,                0.99385,                0.80346,               0.011201,              0.0085371,               0.014764,                      0,              0.0038286,              0.0038286,              0.0038286
                     50,               0.021841,               0.016544,               0.030794,                      0,                0.99258,                0.99096,                0.99375,                0.91742,                 0.9942,                0.98726,                0.99366,                0.81609,               0.011059,              0.0088595,               0.014726,                      0,                 0.0037,                 0.0037,                 0.0037
                     51,               0.022651,               0.017418,               0.033073,                      0,                0.99504,                0.99091,                0.99413,                0.91131,                0.99256,                0.98844,                0.99401,                0.80692,               0.011425,              0.0084696,               0.014798,                      0,              0.0035714,              0.0035714,              0.0035714
