                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.019352,               0.015805,               0.018319,                      0,                0.99854,                0.99827,                0.99481,                0.94385,                0.99854,                0.99827,                0.99482,                 0.7979,              0.0079272,              0.0082968,              0.0065251,                      0,                0.00928,                0.00928,                0.00928
                     26,               0.019501,               0.015558,                0.01826,                      0,                0.99898,                0.99783,                0.99494,                0.94622,                 0.9992,                0.99805,                0.99497,                0.80146,              0.0077175,              0.0083413,              0.0063205,                      0,                0.00925,                0.00925,                0.00925
                     27,                 0.0189,               0.015552,               0.018361,                      0,                0.99805,                0.99851,                0.99484,                0.94304,                0.99827,                0.99873,                0.99485,                0.80059,              0.0077899,              0.0082653,              0.0064501,                      0,                0.00922,                0.00922,                0.00922
                     28,               0.019354,               0.015549,               0.018585,                      0,                0.99827,                 0.9986,                0.99491,                0.94757,                0.99848,                0.99882,                0.99493,                0.80272,              0.0076098,              0.0082542,               0.006242,                      0,                0.00919,                0.00919,                0.00919
                     29,               0.019044,               0.015134,               0.017944,                      0,                0.99892,                0.99848,                0.99494,                0.94471,                 0.9991,                0.99848,                0.99496,                0.80442,              0.0075909,              0.0081809,               0.006286,                      0,                0.00916,                0.00916,                0.00916
                     30,               0.018595,               0.015415,               0.017785,                      0,                0.99778,                0.99848,                0.99488,                0.94894,                  0.998,                 0.9987,                0.99489,                0.80434,              0.0075094,              0.0082698,              0.0062082,                      0,                0.00913,                0.00913,                0.00913
                     31,               0.018361,               0.015078,               0.017626,                      0,                0.99738,                0.99848,                0.99483,                0.94946,                 0.9976,                 0.9987,                0.99485,                0.80379,              0.0074236,              0.0081272,              0.0062576,                      0,                 0.0091,                 0.0091,                 0.0091
                     32,               0.018495,               0.015029,               0.017392,                      0,                0.99825,                0.99805,                0.99488,                  0.951,                0.99813,                 0.9987,                0.99489,                0.81075,              0.0072661,              0.0080545,               0.006144,                      0,                0.00907,                0.00907,                0.00907
                     33,               0.018522,               0.015053,               0.017557,                      0,                0.99887,                0.99892,                0.99496,                0.94976,                0.99909,                0.99913,                0.99496,                0.80739,              0.0072901,              0.0080527,              0.0061736,                      0,                0.00904,                0.00904,                0.00904
                     34,               0.017898,               0.014854,               0.017136,                      0,                  0.998,                 0.9987,                0.99493,                0.95476,                  0.998,                 0.9987,                0.99494,                0.81176,              0.0071792,              0.0079632,              0.0060204,                      0,                0.00901,                0.00901,                0.00901
